"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","2017-05-17",,,,,"0.00","0.0","0.0",,"79","51","54",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-18",,,,,"0.00","0.0","0.0",,"88","54","66",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-19",,,,,"0.00","0.0","0.0",,"90","66","70",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-20",,,,,"0.01","0.0","0.0",,"90","54","55",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-21",,,,,"0.00","0.0","0.0",,"66","45","47",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-22",,,,,"0.04","0.0","0.0",,"68","47","53",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-23",,,,,"0.36","0.0","0.0",,"60","53","57",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-24",,,,,"0.03","0.0","0.0",,"69","55","56",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-25",,,,,"0.10","0.0","0.0",,"72","54","55",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-26",,,,,"1.16","0.0","0.0",,"58","54","55",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-27",,,,,"0.02","0.0","0.0",,"74","52","58",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-28",,,,,"0.00","0.0","0.0",,"72","54","62",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-29",,,,,"0.15","0.0","0.0",,"74","55","55",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-30",,,,,"0.23","0.0","0.0",,"58","54","54",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-05-31",,,,,"0.11","0.0","0.0",,"59","54","58",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-01",,,,,"0.04","0.0","0.0",,"75","54","55",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-02",,,,,"0.00","0.0","0.0",,"78","49","50",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-03",,,,,"0.00","0.0","0.0",,"77","50","52",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-04",,,,,"0.00","0.0","0.0",,"73","49","53",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-05",,,,,"0.13","0.0","0.0",,"67","53","57",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-06",,,,,"0.12","0.0","0.0",,"72","54","54",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-07",,,,,"0.07","0.0","0.0",,"58","48","49",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-08",,,,,"0.00","0.0","0.0",,"68","47","49",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-09",,,,,"0.00","0.0","0.0",,"73","49","55",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-10",,,,,"0.00","0.0","0.0",,"80","54","57",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-11",,,,,"0.00","0.0","0.0",,"83","57","66",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-12",,,,,"0.00","0.0","0.0",,"89","64","66",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-13",,,,,"0.00","0.0","0.0",,"92","66","74",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-14",,,,,"0.03","0.0","0.0",,"94","70","70",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-15",,,,,"0.00","0.0","0.0",,"84","56","58",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","2017-06-16",,,,,"0.00","0.0","0.0",,"78","56","59",,,,,,,,,,,,,,,,
